,full_name,rating,jersey,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak
0,LeBron James,97,#23,F,12/30/84,6-9 / 2.06,250 lbs. / 113.4 kg.,37436858,USA,2003,1,1
1,Kawhi Leonard,97,#2,F,06/29/91,6-7 / 2.01,225 lbs. / 102.1 kg.,32742000,USA,2011,1,15
2,Giannis Antetokounmpo,96,#34,F-G,12/06/94,6-11 / 2.11,242 lbs. / 109.8 kg.,25842697,Greece,2013,1,15
3,Kevin Durant,96,#7,F,09/29/88,6-10 / 2.08,230 lbs. / 104.3 kg.,37199000,USA,2007,1,2
4,James Harden,96,#13,G,08/26/89,6-5 / 1.96,220 lbs. / 99.8 kg.,38199000,USA,2009,1,3
5,Stephen Curry,95,#30,G,03/14/88,6-3 / 1.91,185 lbs. / 83.9 kg.,40231758,USA,2009,1,7
6,Anthony Davis,94,#3,F-C,03/11/93,6-10 / 2.08,222 lbs. / 100.7 kg.,27093019,USA,2012,1,1
7,Paul George,93,#13,F,05/02/90,6-8 / 2.03,210 lbs. / 95.3 kg.,33005556,USA,2010,1,10
8,Damian Lillard,92,#0,G,07/15/90,6-2 / 1.88,195 lbs. / 88.5 kg.,29802321,USA,2012,1,6
9,Joel Embiid,91,#21,C,03/16/94,7-0 / 2.13,250 lbs. / 113.4 kg.,27504630,Cameroon,2014,1,3
10,Kyrie Irving,91,#11,G,03/23/92,6-2 / 1.88,180 lbs. / 81.6 kg.,31742000,Australia,2011,1,1
11,Nikola Jokic,90,#15,C,02/19/95,7-0 / 2.13,253 lbs. / 114.8 kg.,27504630,Serbia,2014,2,41
12,Russell Westbrook,90,#0,G,11/12/88,6-3 / 1.91,190 lbs. / 86.2 kg.,38506482,USA,2008,1,4
13,Klay Thompson,89,#11,G,02/08/90,6-6 / 1.98,205 lbs. / 93 kg.,32742000,USA,2011,1,11
14,Karl-Anthony Towns,89,#32,F-C,11/15/95,6-11 / 2.11,248 lbs. / 112.5 kg.,27285000,USA,2015,1,1
15,Jimmy Butler,88,#22,G,09/14/89,6-7 / 2.01,220 lbs. / 99.8 kg.,32742000,USA,2011,1,30
16,Rudy Gobert,88,#27,C,06/26/92,7-1 / 2.16,238 lbs. / 108 kg.,25258427,France,2013,1,27
17,Blake Griffin,88,#23,F,03/16/89,6-9 / 2.06,252 lbs. / 114.3 kg.,34449964,USA,2009,1,1
18,Donovan Mitchell,88,#45,G,09/07/96,6-1 / 1.85,211 lbs. / 95.7 kg.,3635760,USA,2017,1,13
19,Kemba Walker,88,#8,G,05/08/90,6-0 / 1.83,172 lbs. / 78 kg.,32742000,USA,2011,1,9
20,Luka Doncic,87,#77,G-F,02/28/99,6-7 / 2.01,227 lbs. / 103 kg.,7683360,Slovenia,2018,1,3
21,LaMarcus Aldridge,87,#12,F-C,07/19/85,6-11 / 2.11,246 lbs. / 111.6 kg.,26000000,USA,2006,1,2
22,Bradley Beal,87,#3,G,06/28/93,6-3 / 1.91,207 lbs. / 93.9 kg.,27093018,USA,2012,1,3
23,Mike Conley,87,#10,G,10/11/87,6-1 / 1.85,185 lbs. / 83.9 kg.,32511623,USA,2007,1,4
24,DeMar DeRozan,87,#10,G-F,08/07/89,6-6 / 1.98,220 lbs. / 99.8 kg.,27739975,USA,2009,1,9
25,CJ McCollum,87,#3,G,09/19/91,6-3 / 1.91,197 lbs. / 89.4 kg.,27556959,USA,2013,1,10
26,Victor Oladipo,87,#4,G,05/04/92,6-4 / 1.93,213 lbs. / 96.6 kg.,21000000,USA,2013,1,2
27,Kristaps Porzingis,87,#6,F-C,08/02/95,7-3 / 2.21,220 lbs. / 99.8 kg.,27285000,Latvia,2015,1,4
28,D'Angelo Russell,87,#0,G,02/23/96,6-4 / 1.93,193 lbs. / 87.5 kg.,27285000,USA,2015,1,2
29,Pascal Siakam,87,#43,F,04/02/94,6-9 / 2.06,227 lbs. / 103 kg.,2351838,Cameroon,2016,1,27
30,Ben Simmons,87,#25,F,07/20/96,6-10 / 2.08,240 lbs. / 108.9 kg.,8113929,Australia,2016,1,1
31,De'Aaron Fox,86,#5,G,12/20/97,6-3 / 1.91,171 lbs. / 77.6 kg.,6392760,USA,2017,1,5
32,Devin Booker,86,#1,G,10/30/96,6-5 / 1.96,206 lbs. / 93.4 kg.,27285000,USA,2015,1,13
33,DeMarcus Cousins,86,#0,C,08/13/90,6-10 / 2.08,270 lbs. / 122.5 kg.,3500000,USA,2010,1,5
34,Andre Drummond,86,#0,C,08/10/93,6-10 / 2.08,270 lbs. / 122.5 kg.,27093018,USA,2012,1,9
35,Draymond Green,86,#23,F,03/04/90,6-6 / 1.98,230 lbs. / 104.3 kg.,18539130,USA,2012,2,35
36,Jrue Holiday,86,#11,G,06/12/90,6-3 / 1.91,180 lbs. / 81.6 kg.,26131111,USA,2009,1,17
37,Nikola Vucevic,86,#9,C,10/24/90,6-11 / 2.11,240 lbs. / 108.9 kg.,28000000,Montenegro,2011,1,16
38,John Wall,86,#2,G,09/06/90,6-4 / 1.93,195 lbs. / 88.5 kg.,38199000,USA,2010,1,1
39,Jayson Tatum,85,#0,F,03/03/98,6-8 / 2.03,204 lbs. / 92.5 kg.,7830000,USA,2017,1,3
40,Trae Young,85,#11,G,09/19/98,6-1 / 1.85,180 lbs. / 81.6 kg.,6273000,USA,2018,1,5
41,Eric Bledsoe,85,#6,G,12/09/89,6-1 / 1.85,195 lbs. / 88.5 kg.,15625000,USA,2010,1,18
42,Clint Capela,85,#15,C,05/18/94,6-10 / 2.08,211 lbs. / 95.7 kg.,16896552,Switzerland,2014,1,25
43,Tobias Harris,85,#12,F,07/15/92,6-8 / 2.03,226 lbs. / 102.5 kg.,32742000,USA,2011,1,19
44,Al Horford,85,#42,C-F,06/03/86,6-9 / 2.06,246 lbs. / 111.6 kg.,28000000,Dominican Republic,2007,1,3
45,Zach LaVine,85,#8,G,03/10/95,6-6 / 1.98,181 lbs. / 82.1 kg.,19500000,USA,2014,1,13
46,Kyle Lowry,85,#7,G,03/25/86,6-0 / 1.83,205 lbs. / 93 kg.,33296296,USA,2006,1,24
47,Khris Middleton,85,#22,F,08/12/91,6-7 / 2.01,217 lbs. / 98.4 kg.,30603448,USA,2012,2,39
48,Chris Paul,85,#3,G,05/06/85,6-1 / 1.85,175 lbs. / 79.4 kg.,38506482,USA,2005,1,4
49,John Collins,84,#20,F,09/23/97,6-9 / 2.06,225 lbs. / 102.1 kg.,2686560,USA,2017,1,19
50,Buddy Hield,84,#24,G,12/17/93,6-4 / 1.93,212 lbs. / 96.2 kg.,4861207,The Bahamas,2016,1,6
51,Kyle Kuzma,84,#0,F,07/24/95,6-8 / 2.03,221 lbs. / 100.2 kg.,1974600,USA,2017,1,27
52,Jamal Murray,84,#27,G,02/23/97,6-4 / 1.93,201 lbs. / 91.2 kg.,4444746,Canada,2016,1,7
53,Louis Williams,84,#23,G,10/27/86,6-1 / 1.85,175 lbs. / 79.4 kg.,8000000,USA,2005,2,45
54,Marvin Bagley,83,#35,F,03/14/99,6-11 / 2.11,235 lbs. / 106.6 kg.,8556120,USA,2018,1,2
55,Bojan Bogdanovic,83,#44,G-F,04/18/89,6-8 / 2.03,216 lbs. / 98 kg.,17000000,Croatia,2011,2,31
56,Malcolm Brogdon,83,#7,G,12/11/92,6-5 / 1.96,223 lbs. / 101.2 kg.,20000000,USA,2016,2,36
57,Danilo Gallinari,83,#8,F,08/08/88,6-10 / 2.08,225 lbs. / 102.1 kg.,22615559,Italy,2008,1,6
58,Montrezl Harrell,83,#5,F,01/26/94,6-7 / 2.01,253 lbs. / 114.8 kg.,6000000,USA,2015,2,32
59,Kevin Love,83,#0,F,09/07/88,6-8 / 2.03,260 lbs. / 117.9 kg.,28942830,USA,2008,1,5
60,Lauri Markkanen,83,#24,F-C,05/22/97,7-0 / 2.13,240 lbs. / 108.9 kg.,5300400,Finland,2017,1,7
61,Jusuf Nurkic,83,#27,C,08/23/94,7-0 / 2.13,290 lbs. / 131.5 kg.,12000000,Bosnia and Herzegovina,2014,1,16
62,Julius Randle,83,#30,F,11/29/94,6-8 / 2.03,250 lbs. / 113.4 kg.,18000000,USA,2014,1,7
63,Marc Gasol,82,#33,C,01/29/85,6-11 / 2.11,265 lbs. / 120.2 kg.,25595700,Spain,2007,2,48
64,Steven Adams,82,#12,C,07/20/93,6-11 / 2.11,255 lbs. / 115.7 kg.,25842697,New Zealand,2013,1,12
65,Deandre Ayton,82,#22,C,07/23/98,6-11 / 2.11,250 lbs. / 113.4 kg.,9562920,The Bahamas,2018,1,1
66,Spencer Dinwiddie,82,#8,G,04/06/93,6-5 / 1.96,205 lbs. / 93 kg.,10605600,USA,2014,2,38
67,Jaren Jackson,82,#13,F-C,09/15/99,6-11 / 2.11,242 lbs. / 110 kg.,6699960,USA,2018,1,4
68,Paul Millsap,82,#4,F-C,02/10/85,6-7 / 2.01,250 lbs. / 113.4 kg.,30350000,USA,2017,2,47
69,Marcus Smart,82,#36,G,03/06/94,6-3 / 1.91,227 lbs. / 103 kg.,12553571,USA,2014,1,6
70,Myles Turner,82,#33,F-C,03/24/96,6-11 / 2.11,239 lbs. / 108.4 kg.,18000000,USA,2015,1,11
71,Serge Ibaka,81,#9,F,09/18/89,7-0 / 2.13,240 lbs. / 108.9 kg.,23271604,Spain,2008,1,24
72,Zion Williamson,81,#1,F,07/06/00,6-6 / 1.98,284 lbs. / 128.8 kg.,9757440,USA,2019,1,1
73,Rudy Gay,81,#22,F,08/17/86,6-8 / 2.03,230 lbs. / 104.3 kg.,14500000,USA,2006,1,8
74,Aaron Gordon,81,#0,F,09/16/95,6-8 / 2.03,220 lbs. / 99.8 kg.,19863636,USA,2014,1,4
75,Brandon Ingram,81,#14,F,09/02/97,6-7 / 2.01,196 lbs. / 88.9 kg.,7265485,USA,2016,1,2
76,DeAndre Jordan,81,#6,C,07/21/88,6-11 / 2.11,265 lbs. / 120.2 kg.,9881598,USA,2008,2,35
77,Domantas Sabonis,81,#11,F-C,05/03/96,6-11 / 2.11,231 lbs. / 104.8 kg.,3529554,Lithuania,2016,1,11
78,Jonas Valanciunas,81,#17,C,05/06/92,6-11 / 2.11,231 lbs. / 104.8 kg.,16000000,Lithuania,2011,1,5
79,Hassan Whiteside,81,#21,C,06/13/89,7-0 / 2.13,235 lbs. / 106.6 kg.,27093018,USA,2010,2,33
80,Derrick Rose,80,#25,G,10/04/88,6-2 / 1.88,190 lbs. / 86.2 kg.,7317074,USA,2008,1,1
81,Robert Covington,80,#33,F,12/14/90,6-7 / 2.01,209 lbs. / 94.8 kg.,11301219,USA,2013,Undrafted,Undrafted
82,Derrick Favors,80,#22,F,07/15/91,6-9 / 2.06,246 lbs. / 111.6 kg.,17650000,USA,2010,1,3
83,Gordon Hayward,80,#20,F,03/23/90,6-7 / 2.01,207 lbs. / 93.9 kg.,32700690,USA,2010,1,9
84,Reggie Jackson,80,#0,G,04/16/90,6-3 / 1.91,208 lbs. / 94.3 kg.,17799677,USA,2011,1,24
85,Enes Kanter,80,#11,C,05/20/92,6-10 / 2.08,262 lbs. / 118.8 kg.,4767000,Turkey,2011,1,3
86,Otto Porter,80,#22,F,06/03/93,6-8 / 2.03,198 lbs. / 89.8 kg.,27250576,USA,2013,1,2
87,JJ Redick,80,#4,G,06/24/84,6-3 / 1.91,190 lbs. / 86.2 kg.,13486300,USA,2006,1,11
88,Josh Richardson,80,#0,G,09/15/93,6-5 / 1.96,200 lbs. / 90.7 kg.,10116576,USA,2015,2,40
89,TJ Warren,80,#1,F,09/05/93,6-8 / 2.03,220 lbs. / 99.8 kg.,11060000,USA,2014,1,14
90,Ja Morant,79,#12,G,08/10/99,6-3 / 1.91,174 lbs. / 78.9 kg.,8730240,USA,2019,1,2
91,Bam Adebayo,79,#13,F-C,07/18/97,6-9 / 2.06,243 lbs. / 110.2 kg.,3454080,USA,2017,1,14
92,Jarrett Allen,79,#31,C,04/20/98,6-11 / 2.11,234 lbs. / 106.1 kg.,2376840,USA,2017,1,22
93,Lonzo Ball,79,#2,G,10/27/97,6-6 / 1.98,190 lbs. / 86.2 kg.,8719320,USA,2017,1,2
94,Harrison Barnes,79,#40,F,05/30/92,6-8 / 2.03,210 lbs. / 95.3 kg.,24147727,USA,2012,1,7
95,Patrick Beverley,79,#21,G,07/12/88,6-1 / 1.85,180 lbs. / 81.6 kg.,12345680,USA,2009,2,42
96,Jaylen Brown,79,#7,F,10/24/96,6-6 / 1.98,223 lbs. / 101.2 kg.,6534829,USA,2016,1,3
97,Willie Cauley-Stein,79,#0,C,08/18/93,7-0 / 2.13,242 lbs. / 109.8 kg.,2177483,USA,2015,1,6
98,Goran Dragic,79,#7,G,05/06/86,6-3 / 1.91,190 lbs. / 86.2 kg.,19217900,Slovenia,2008,2,45
99,Shai Gilgeous-Alexander,79,#2,G,07/12/98,6-5 / 1.96,180 lbs. / 81.6 kg.,3952920,Canada,2018,1,11
100,Gary Harris,79,#14,G,09/14/94,6-4 / 1.93,205 lbs. / 93 kg.,17839286,USA,2014,1,19
101,Joe Ingles,79,#2,F,10/02/87,6-7 / 2.01,209 lbs. / 94.8 kg.,11454546,Australia,2009,Undrafted,Undrafted
102,Jeremy Lamb,79,#26,G,05/30/92,6-5 / 1.96,180 lbs. / 81.6 kg.,10500000,USA,2012,1,12
103,Brook Lopez,79,#11,C,04/01/88,7-0 / 2.13,265 lbs. / 120.2 kg.,12093024,USA,2008,1,10
104,JaVale McGee,79,#7,C,01/19/88,7-0 / 2.13,270 lbs. / 122.5 kg.,4000000,USA,2008,1,18
105,Mitchell Robinson,79,#23,C,04/01/98,7-0 / 2.13,223 lbs. / 101.2 kg.,1559712,USA,2018,2,36
106,Terrence Ross,79,#8,G,02/05/91,6-6 / 1.98,206 lbs. / 93.4 kg.,12500000,USA,2012,1,8
107,Tristan Thompson,79,#13,F,03/13/91,6-9 / 2.06,225 lbs. / 102.1 kg.,18539130,Canada,2011,1,4
108,PJ Tucker,79,#17,F,05/05/85,6-5 / 1.96,225 lbs. / 102.1 kg.,8349039,USA,2006,2,35
109,Fred VanVleet,79,#23,G,02/25/94,6-1 / 1.85,197 lbs. / 89.4 kg.,9346153,USA,2006,Undrafted,Undrafted
110,Andrew Wiggins,79,#22,F,02/23/95,6-7 / 2.01,197 lbs. / 89.4 kg.,27504630,Canada,2014,1,1
111,Thaddeus Young,79,#21,F,06/21/88,6-8 / 2.03,220 lbs. / 99.8 kg.,12900000,USA,2007,1,12
112,RJ Barrett,78,#9,G,06/14/00,6-6 / 1.98,202 lbs. / 91.6 kg.,7839960,Canada,2019,1,3
113,Ricky Rubio,78,#11,G,10/21/90,6-3 / 1.91,180 lbs. / 81.6 kg.,16200000,Spain,2009,1,5
114,Will Barton,78,#5,G,01/06/91,6-5 / 1.96,175 lbs. / 79.4 kg.,12776786,USA,2012,2,40
115,Bogdan Bogdanovic,78,#8,G,08/18/92,6-6 / 1.98,205 lbs. / 93 kg.,8529386,Serbia,2014,1,27
116,Thomas Bryant,78,#13,F-C,07/31/97,6-10 / 2.08,241 lbs. / 109.3 kg.,8000000,USA,2017,2,42
117,Wendell Carter,78,#34,C,04/16/99,6-9 / 2.06,259 lbs. / 117.5 kg.,5201400,USA,2018,1,7
118,Jordan Clarkson,78,#8,G,06/07/92,6-4 / 1.93,186 lbs. / 84.4 kg.,13437500,Philippines,2014,2,46
119,Evan Fournier,78,#10,G,10/29/92,6-7 / 2.01,190 lbs. / 86.2 kg.,17150000,France,2012,1,20
120,Eric Gordon,78,#10,G,12/25/88,6-3 / 1.91,215 lbs. / 97.5 kg.,14057730,USA,2008,1,7
121,JaMychal Green,78,#4,F,06/21/90,6-8 / 2.03,220 lbs. / 99.8 kg.,4767000,USA,2012,Undrafted,Undrafted
122,Joe Harris,78,#12,G,09/06/91,6-6 / 1.98,215 lbs. / 97.5 kg.,7666667,USA,2014,2,33
123,Andre Iguodala,78,#9,G-F,01/28/84,6-6 / 1.98,207 lbs. / 93.9 kg.,17185185,USA,2004,1,9
124,Caris LeVert,78,#22,G,08/25/94,6-6 / 1.98,191 lbs. / 86.6 kg.,2625717,USA,2016,1,20
125,Marcus Morris,78,#0,F,09/02/89,6-8 / 2.03,235 lbs. / 106.6 kg.,15000000,USA,2011,1,14
126,Dejounte Murray,78,#5,G,09/19/96,6-4 / 1.93,170 lbs. / 77.1 kg.,2321735,USA,2016,1,29
127,Larry Nance Jr,78,#22,F,01/01/93,6-7 / 2.01,227 lbs. / 103 kg.,12727273,USA,2015,1,27
128,Kelly Olynyk,78,#9,C,04/19/91,6-11 / 2.11,234 lbs. / 106.1 kg.,12667885,Canada,2013,1,13
129,Kelly Oubre,78,#3,F-G,12/09/95,6-7 / 2.01,203 lbs. / 92.1 kg.,15625000,USA,2015,1,15
130,Jabari Parker,78,#0,F,03/15/95,6-8 / 2.03,235 lbs. / 106.6 kg.,6500000,USA,2014,1,2
131,Bobby Portis,78,#1,F-C,02/10/95,6-10 / 2.08,246 lbs. / 111.6 kg.,15000000,USA,2015,1,22
132,Terry Rozier,78,#3,G,03/17/94,6-1 / 1.85,190 lbs. / 86.2 kg.,19894737,USA,2015,1,16
133,Dennis Schroeder,78,#17,G,09/15/93,6-1 / 1.85,172 lbs. / 78 kg.,15500000,Germany,2013,1,17
134,Jeff Teague,78,#0,G,06/10/88,6-3 / 1.91,181 lbs. / 82.1 kg.,19000000,USA,2009,1,19
135,Derrick White,78,#4,G,07/02/94,6-4 / 1.93,200 lbs. / 90.7 kg.,1948080,USA,2017,1,29
136,Justise Winslow,78,#0,F,03/26/96,6-6 / 1.98,222 lbs. / 100.7 kg.,13000000,USA,2015,1,10
137,Darius Garland,77,#10,G,06/26/00,6-1 / 1.85,175 lbs. / 79.4 kg.,6400920,USA,2019,1,5
138,De'Andre Hunter,77,#12,F,12/01/97,6-7 / 2.01,225 lbs. / 102.1 kg.,7068360,USA,2019,1,4
139,Al-Farouq Aminu,77,#2,F,09/21/90,6-8 / 2.03,215 lbs. / 97.5 kg.,9258000,Nigeria,2010,1,8
140,Mo Bamba,77,#5,C,05/12/98,7-0 / 2.13,225 lbs. / 102.1 kg.,5697600,USA,2018,1,6
141,Nicolas Batum,77,#5,F-G,12/14/88,6-9 / 2.06,210 lbs. / 95.3 kg.,25565217,France,2008,1,25
142,Malik Beasley,77,#0,G,11/26/96,6-4 / 1.93,198 lbs. / 89.8 kg.,2731713,USA,2016,1,19
143,Nemanja Bjelica,77,#88,F-G,05/09/88,6-10 / 2.08,224 lbs. / 101.6 kg.,6825000,Serbia,2010,2,35
144,DeMarre Carroll,77,#0,F,07/27/86,6-6 / 1.98,212 lbs. / 96.2 kg.,7339258,USA,2009,1,27
