,full_name,rating,jersey,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak
145,Ed Davis,77,#17,F,06/05/89,6-9 / 2.06,215 lbs. / 97.5 kg.,4767000,USA,2010,1,13
146,Taj Gibson,77,#67,F,06/24/85,6-9 / 2.06,225 lbs. / 102.1 kg.,9000000,USA,2009,1,26
147,Jerami Grant,77,#9,F,03/12/94,6-8 / 2.03,214 lbs. / 97.1 kg.,9346153,USA,2014,2,39
148,Danny Green,77,#14,G,06/22/87,6-6 / 1.98,209 lbs. / 94.8 kg.,14634147,USA,2009,2,46
149,Tim Hardaway Jr,77,#11,G,03/16/92,6-5 / 1.96,199 lbs. / 90.3 kg.,20025127,USA,2013,1,24
150,Alex Len,77,#0,C,06/16/93,7-0 / 2.13,225 lbs. / 102.1 kg.,4160000,Ukraine,2013,1,5
151,Kevon Looney,77,#5,F,02/06/96,6-9 / 2.06,222 lbs. / 100.7 kg.,4464286,USA,2015,1,30
152,Monte Morris,77,#11,G,06/27/95,6-2 / 1.88,175 lbs. / 79.4 kg.,1588231,USA,2017,2,51
153,Nerlens Noel,77,#9,F-C,04/10/94,6-10 / 2.08,206 lbs. / 93.4 kg.,1882867,USA,2013,1,6
154,Mason Plumlee,77,#24,C-F,03/05/90,6-11 / 2.11,238 lbs. / 108 kg.,14041096,USA,2013,1,22
155,Jakob Poeltl,77,#25,C-F,10/15/95,7-1 / 2.16,239 lbs. / 108.4 kg.,3754885,Austria,2016,1,9
156,Dwight Powell,77,#7,F-C,07/20/91,6-10 / 2.08,234 lbs. / 106.1 kg.,10259375,Canada,2014,2,45
157,Taurean Prince,77,#2,F,03/22/94,6-7 / 2.01,220 lbs. / 99.8 kg.,3481985,USA,2016,1,12
158,Dario Saric,77,#20,F,04/08/94,6-10 / 2.08,216 lbs. / 98 kg.,3481985,Croatia,2014,1,12
159,Collin Sexton,77,#2,G,01/04/99,6-1 / 1.85,190 lbs. / 86.2 kg.,4764960,USA,2018,1,8
160,Dennis Smith,77,#5,G,11/25/97,6-2 / 1.88,195 lbs. / 88.5 kg.,4463640,USA,2017,1,9
161,Cody Zeller,77,#40,C-F,10/05/92,7-0 / 2.13,230 lbs. / 104.3 kg.,14471910,USA,2013,1,4
162,Ivica Zubac,77,#40,C,03/18/97,7-0 / 2.13,265 lbs. / 120.2 kg.,6481482,Croatia,2016,2,32
163,Jarrett Culver,77,#23,G,02/20/99,6-6 / 1.98,195 lbs. / 88.5 kg.,5813640,USA,2019,1,6
164,Willy Hernangomez,76,#9,C-F,05/27/94,6-11 / 2.11,255 lbs. / 115.7 kg.,1676735,Spain,2015,2,35
165,Trevor Ariza,76,#0,F-G,06/30/85,6-8 / 2.03,210 lbs. / 95.3 kg.,12200000,USA,2004,2,43
166,DJ Augustin,76,#14,G,11/10/87,5-11 / 1.80,180 lbs. / 81.6 kg.,7250000,USA,2008,1,9
167,Jose Juan Barea,76,#5,G,06/26/84,5-10 / 1.78,175 lbs. / 79.4 kg.,2564753,Puerto Rico,2006,Undrafted,Undrafted
168,Michael Beasley,76,#0,F,01/09/89,6-10 / 2.08,235 lbs. / 106.6 kg.,3500000,USA,2008,1,2
169,Davis Bertans,76,#42,F,11/12/92,6-10 / 2.08,211 lbs. / 95.7 kg.,7000000,Latvia,2011,2,42
170,Avery Bradley,76,#11,G,11/26/90,6-3 / 1.91,195 lbs. / 88.5 kg.,6767000,USA,2010,1,19
171,Miles Bridges,76,#0,F,03/21/98,6-6 / 1.98,225 lbs. / 102.1 kg.,3755400,USA,2018,1,12
172,Jalen Brunson,76,#13,G,08/31/96,6-1 / 1.85,190 lbs. / 86.2 kg.,1416852,USA,2018,2,33
173,Kentavious Caldwell-Pope,76,#1,G,02/18/93,6-5 / 1.96,204 lbs. / 92.5 kg.,8089282,USA,2013,1,8
174,Jae Crowder,76,#99,F,07/06/90,6-6 / 1.98,235 lbs. / 106.6 kg.,7815533,USA,2012,2,34
175,Dewayne Dedmon,76,#0,C,08/12/89,7-0 / 2.13,239 lbs. / 108.4 kg.,13333334,USA,2013,Undrafted,Undrafted
176,Gorgui Dieng,76,#0,C,01/18/90,6-10 / 2.08,230 lbs. / 104.3 kg.,16229213,Senegal,2013,1,21
177,Gerald Green,76,#0,F-G,01/26/86,6-6 / 1.98,192 lbs. / 87.1 kg.,2564753,USA,2005,1,18
178,Jeff Green,76,#34,F,08/28/86,6-8 / 2.03,235 lbs. / 106.6 kg.,3405180,USA,2007,1,5
179,Rodney Hood,76,#5,F,10/20/92,6-8 / 2.03,208 lbs. / 94.3 kg.,5718000,USA,2014,1,23
180,Kevin Huerter,76,#3,G,08/27/98,6-7 / 2.01,190 lbs. / 86.2 kg.,2636280,USA,2018,1,19
181,Ersan Ilyasova,76,#7,F,05/15/87,6-9 / 2.06,235 lbs. / 106.6 kg.,7000000,Turkey,2005,2,36
182,Jonathan Isaac,76,#1,F,10/03/97,6-11 / 2.11,205 lbs. / 93 kg.,5806440,USA,2017,1,6
183,Josh Jackson,76,#20,F,02/10/97,6-8 / 2.03,203 lbs. / 92.1 kg.,7059480,USA,2017,1,4
184,Frank Kaminsky,76,#8,F-C,04/04/93,7-0 / 2.13,231 lbs. / 104.8 kg.,4767000,USA,2015,1,9
185,Michael Kidd-Gilchrist,76,#0,F,09/26/93,6-6 / 1.98,232 lbs. / 105.2 kg.,12784359,USA,2012,1,2
186,Kevin Knox,76,#20,F,08/11/99,6-7 / 2.01,215 lbs. / 97.5 kg.,4380120,USA,2018,1,9
187,Meyers Leonard,76,#0,C,02/27/92,7-0 / 2.13,245 lbs. / 111.1 kg.,11286515,USA,2012,1,11
188,Wesley Matthews,76,#9,G,10/14/86,6-4 / 1.93,220 lbs. / 99.8 kg.,2564753,USA,2009,Undrafted,Undrafted
189,Emmanuel Mudiay,76,#8,G,03/05/96,6-3 / 1.91,190 lbs. / 86.2 kg.,1737145,Democratic Republic of the Congo,2015,1,7
190,Jahlil Okafor,76,#8,C,12/15/95,6-10 / 2.08,270 lbs. / 122.5 kg.,1702486,USA,2015,1,3
191,Elfrid Payton,76,#6,G,02/22/94,6-3 / 1.91,185 lbs. / 83.9 kg.,8000000,USA,2014,1,10
192,Michael Porter,76,#1,F,06/29/98,6-10 / 2.08,215 lbs. / 97.5 kg.,3389400,USA,2018,1,14
193,Austin Rivers,76,#25,G,08/01/92,6-3 / 1.91,200 lbs. / 90.7 kg.,2174310,USA,2012,1,10
194,Andre Roberson,76,#21,G-F,12/04/91,6-7 / 2.01,206 lbs. / 93.4 kg.,10740740,USA,2013,1,26
195,Rajon Rondo,76,#9,G,02/22/86,6-1 / 1.85,186 lbs. / 84.4 kg.,2564753,USA,2006,1,21
196,Landry Shamet,76,#20,G,03/13/97,6-4 / 1.93,180 lbs. / 81.6 kg.,1995120,USA,2018,1,26
197,Daniel Theis,76,#27,C,04/04/92,6-8 / 2.03,215 lbs. / 97.5 kg.,5000000,Germany,2013,Undrafted,Undrafted
198,Isaiah Thomas,76,#0,G,02/07/89,5-9 / 1.75,185 lbs. / 83.9 kg.,2320044,USA,2011,2,60
199,Dion Waiters,76,#11,G,12/10/91,6-3 / 1.91,210 lbs. / 95.3 kg.,12475385,USA,2012,1,4
200,Marvin Williams,76,#2,F,06/19/86,6-8 / 2.03,240 lbs. / 108.9 kg.,14654179,USA,2005,1,2
201,Delon Wright,76,#55,G,04/26/92,6-5 / 1.96,181 lbs. / 82.1 kg.,9473684,USA,2015,1,20
202,Coby White,76,#0,G,02/16/00,6-4 / 1.93,185 lbs. / 83.9 kg.,5307120,USA,2019,1,7
203,Pau Gasol,75,#0,C,07/06/80,7-1 / 2.16,250 lbs. / 113.4 kg.,5538540,Spain,2001,1,3
204,Aron Baynes,75,#46,C,12/09/86,6-10 / 2.08,260 lbs. / 117.9 kg.,5453280,Australia,2009,Undrafted,Undrafted
205,Kent Bazemore,75,#26,G,07/01/89,6-4 / 1.93,195 lbs. / 88.5 kg.,19269663,USA,2012,Undrafted,Undrafted
206,Marco Belinelli,75,#18,G,03/25/86,6-5 / 1.96,200 lbs. / 90.7 kg.,5846154,Italy,2007,1,18
207,Bismack Biyombo,75,#8,C,08/28/92,6-8 / 2.03,229 lbs. / 103.9 kg.,17000000,Democratic Republic of the Congo,2011,1,7
208,Mikal Bridges,75,#25,F-G,08/30/96,6-6 / 1.98,209 lbs. / 94.8 kg.,4161000,USA,2018,1,10
209,Wilson Chandler,75,#21,F-G,05/10/87,6-8 / 2.03,225 lbs. / 102.1 kg.,2564753,USA,2007,1,23
210,Damyean Dotson,75,#21,G,05/06/94,6-5 / 1.96,202 lbs. / 91.6 kg.,1618520,USA,2017,2,44
211,Kris Dunn,75,#32,G,03/18/94,6-3 / 1.91,205 lbs. / 93 kg.,5348007,USA,2016,1,5
212,Wayne Ellington,75,#2,G,11/29/87,6-4 / 1.93,200 lbs. / 90.7 kg.,8000000,USA,2009,1,28
213,Bryn Forbes,75,#11,G,07/23/93,6-2 / 1.88,187 lbs. / 84.8 kg.,2875000,USA,2016,Undrafted,Undrafted
214,Josh Hart,75,#3,G,03/06/95,6-5 / 1.96,204 lbs. / 92.5 kg.,1934160,USA,2017,1,30
215,John Henson,75,#31,F,12/28/90,6-9 / 2.06,220 lbs. / 99.8 kg.,9732396,USA,2012,1,14
216,Mario Hezonja,75,#44,F-G,02/25/95,6-8 / 2.03,201 lbs. / 91.2 kg.,1737145,Croatia,2015,1,5
217,George Hill,75,#3,G,05/04/86,6-3 / 1.91,180 lbs. / 81.6 kg.,10133907,USA,2008,1,26
218,Rondae Hollis-Jefferson,75,#4,F,01/03/95,6-6 / 1.98,211 lbs. / 95.7 kg.,2500000,USA,2015,1,23
219,Richaun Holmes,75,#22,F,10/15/93,6-10 / 2.08,243 lbs. / 110.2 kg.,4767000,USA,2015,2,37
220,James Johnson,75,#0,F,02/20/87,6-7 / 2.01,245 lbs. / 111.1 kg.,15349400,USA,2009,1,16
221,Luke Kennard,75,#5,G,06/24/96,6-5 / 1.96,196 lbs. / 88.9 kg.,3827160,USA,2017,1,12
222,Kyle Korver,75,#26,F,03/17/81,6-7 / 2.01,212 lbs. / 96.2 kg.,6004753,USA,2003,2,51
223,Rodions Kurucs,75,#0,F,02/05/98,6-9 / 2.06,215 lbs. / 97.5 kg.,1699236,Latvia,2018,2,40
224,Jake Layman,75,#10,F,03/07/94,6-8 / 2.03,209 lbs. / 94.8 kg.,3581986,USA,2016,2,47
225,Robin Lopez,75,#42,C,04/01/88,7-0 / 2.13,255 lbs. / 115.7 kg.,4767000,USA,2008,1,15
226,Trey Lyles,75,#41,F,11/05/95,6-9 / 2.06,241 lbs. / 109.3 kg.,5500000,Canada,2015,1,12
227,Boban Marjanovic,75,#51,C,08/15/88,7-4 / 2.24,290 lbs. / 131.5 kg.,3500000,Serbia,2010,Undrafted,Undrafted
228,TJ McConnell,75,#9,G,03/25/92,6-1 / 1.85,200 lbs. / 90.7 kg.,3500000,USA,2015,Undrafted,Undrafted
229,Patrick Mills,75,#8,G,08/11/88,6-1 / 1.85,185 lbs. / 83.9 kg.,12678571,Australia,2009,2,55
230,Malik Monk,75,#1,G,02/04/98,6-3 / 1.91,197 lbs. / 89.4 kg.,4028400,USA,2017,1,11
231,Markieff Morris,75,#88,F,09/02/89,6-8 / 2.03,245 lbs. / 111.1 kg.,3709887,USA,2011,1,13
232,Shabazz Napier,75,#0,G,07/14/91,6-0 / 1.83,175 lbs. / 79.4 kg.,1845301,USA,2014,1,24
233,Cedi Osman,75,#16,F-G,04/08/95,6-7 / 2.01,215 lbs. / 97.5 kg.,2907143,Turkey,2015,2,31
234,Tomas Satoransky,75,#31,G,10/30/91,6-7 / 2.01,198 lbs. / 89.8 kg.,10000000,Czech,2012,2,32
235,Mike Scott,75,#1,F,07/16/88,6-7 / 2.01,237 lbs. / 107.5 kg.,4767000,USA,2012,2,43
236,Noah Vonleh,75,#0,F,08/24/95,6-10 / 2.08,247 lbs. / 112 kg.,2000000,USA,2014,1,9
237,Allonzo Trier,75,#0,G-F,01/17/96,6-4 / 1.93,200 lbs. / 90.7 kg.,3551100,USA,2018,Undrafted,Undrafted
238,Juan Hernangomez,74,#41,F,09/28/95,6-9 / 2.06,220 lbs. / 99.8 kg.,3321029,Spain,2016,1,15
239,Kyle Anderson,74,#1,F,09/20/93,6-9 / 2.06,230 lbs. / 104.3 kg.,9073050,USA,2014,1,30
240,Jordan Bell,74,#0,F-C,01/07/95,6-8 / 2.03,224 lbs. / 101.6 kg.,1870564,USA,2017,2,38
241,Khem Birch,74,#24,C,09/28/92,6-9 / 2.06,209 lbs. / 94.8 kg.,3000000,Canada,2014,Undrafted,Undrafted
242,Dillon Brooks,74,#24,G-F,01/22/96,6-7 / 2.01,225 lbs. / 102.1 kg.,1618520,Canada,2017,2,45
243,Reggie Bullock,74,#25,G,03/16/91,6-6 / 1.98,200 lbs. / 90.7 kg.,4000000,USA,2013,1,25
244,Zach Collins,74,#33,C,11/17/97,6-11 / 2.11,232 lbs. / 105.2 kg.,4240200,USA,2017,1,10
245,Pat Connaughton,74,#24,G,01/06/93,6-5 / 1.96,215 lbs. / 97.5 kg.,1723050,USA,2015,2,41
246,Quinn Cook,74,#2,G,03/23/93,6-1 / 1.85,180 lbs. / 81.6 kg.,3000000,USA,2015,Undrafted,Undrafted
247,Torrey Craig,74,#3,G,12/19/90,6-7 / 2.01,215 lbs. / 97.5 kg.,2000000,USA,2014,Undrafted,Undrafted
248,Seth Curry,74,#30,G,08/23/90,6-2 / 1.88,180 lbs. / 81.6 kg.,7461380,USA,2013,Undrafted,Undrafted
249,Cheick Diallo,74,#14,F-C,09/13/96,6-8 / 2.03,219 lbs. / 99.3 kg.,1678854,Mali,2016,2,33
250,Yogi Ferrell,74,#3,G,05/09/93,6-0 / 1.83,178 lbs. / 80.7 kg.,3150000,USA,2016,Undrafted,Undrafted
251,Markelle Fultz,74,#20,G,05/29/98,6-3 / 1.91,195 lbs. / 88.5 kg.,9745200,USA,2017,1,1
252,Harry Giles,74,#20,F-C,04/22/98,6-11 / 2.11,232 lbs. / 105.2 kg.,2578800,USA,2017,1,20
253,Moe Harkless,74,#0,F,05/11/93,6-7 / 2.01,208 lbs. / 94.3 kg.,11011234,USA,2012,1,15
254,Justin Jackson,74,#44,F-G,03/28/95,6-7 / 2.01,201 lbs. / 91.2 kg.,3280920,USA,2017,1,15
255,Tyler Johnson,74,#0,G,05/07/92,6-3 / 1.91,186 lbs. / 84.4 kg.,19428485,USA,2014,Undrafted,Undrafted
256,Derrick Jones,74,#5,F,02/15/97,6-6 / 1.98,195 lbs. / 88.5 kg.,1645357,USA,2016,Undrafted,Undrafted
257,Cory Joseph,74,#9,G,08/20/91,6-3 / 1.91,185 lbs. / 83.9 kg.,12000000,Canada,2011,1,29
258,Maxi Kleber,74,#42,F-C,01/29/92,6-10 / 2.08,211 lbs. / 95.7 kg.,8000000,Germany,2014,Undrafted,Undrafted
259,TJ Leaf,74,#22,F-C,04/30/97,6-10 / 2.08,222 lbs. / 100.7 kg.,2813280,Israel,2017,1,18
260,Doug McDermott,74,#20,F,01/03/92,6-7 / 2.01,218 lbs. / 98.9 kg.,7333333,USA,2014,1,11
261,E'Twaun Moore,74,#55,G,02/25/89,6-3 / 1.91,191 lbs. / 86.6 kg.,8664928,USA,2011,2,55
262,Joakim Noah,74,#0,C,02/25/85,6-11 / 2.11,227 lbs. / 103 kg.,6813026,USA,2007,1,9
263,Kyle O'Quinn,74,#9,F-C,03/26/90,6-9 / 2.06,240 lbs. / 108.9 kg.,2174318,USA,2012,2,49
264,Chandler Parsons,74,#0,F,10/25/88,6-9 / 2.06,200 lbs. / 90.7 kg.,25102512,USA,2011,2,38
265,Norman Powell,74,#24,G,05/25/93,6-3 / 1.91,215 lbs. / 97.5 kg.,10116576,USA,2015,2,46
266,Ivan Rabb,74,#0,F-C,02/04/97,6-10 / 2.08,220 lbs. / 99.8 kg.,451326,USA,2017,2,35
267,Glenn Robinson III,74,#22,F,01/08/94,6-6 / 1.98,211 lbs. / 95.7 kg.,1882867,USA,2014,2,40
268,Denzel Valentine,74,#45,G,11/16/93,6-4 / 1.93,210 lbs. / 95.3 kg.,3377568,USA,2016,1,14
269,Robert Williams,74,#44,F-C,10/17/97,6-8 / 2.03,237 lbs. / 107.5 kg.,1937520,USA,2018,1,27
270,Christian Wood,74,#35,F,09/27/95,6-10 / 2.08,216 lbs. / 98 kg.,1645357,USA,2015,Undrafted,Undrafted
271,Jaxson Hayes,74,#10,F-C,05/23/00,6-11 / 2.11,220 lbs. / 99.8 kg.,4862040,USA,2019,1,8
272,Rui Hachimura,74,#8,F,02/08/98,6-8 / 2.03,225 lbs. / 102.1 kg.,4469160,Japan,2019,1,9
273,OG Anunoby,73,#3,F-G,07/17/97,6-7 / 2.01,232 lbs. / 105.2 kg.,2281800,United Kingdom,2017,1,23
274,Dwayne Bacon,73,#7,G,08/30/95,6-6 / 1.98,220 lbs. / 99.8 kg.,1618520,USA,2017,2,40
275,DeAndre Bembry,73,#95,F,07/04/94,6-5 / 1.96,207 lbs. / 93.9 kg.,2603981,USA,2016,1,21
276,Jonah Bolden,73,#0,F,01/02/96,6-8 / 2.03,215 lbs. / 97.5 kg.,1788296,Australia,2017,2,36
277,Sterling Brown,73,#23,G,02/10/95,6-5 / 1.96,230 lbs. / 104.3 kg.,1618520,USA,2017,2,46
278,Bruce Brown,73,#6,G,08/15/96,6-4 / 1.93,190 lbs. / 86.2 kg.,1416852,USA,2018,2,42
279,Troy Brown,73,#6,F-G,07/28/99,6-6 / 1.98,215 lbs. / 97.5 kg.,3219480,USA,2018,1,15
280,Alec Burks,73,#0,G,07/20/91,6-6 / 1.98,195 lbs. / 88.5 kg.,2320044,USA,2011,1,12
281,Alex Caruso,73,#4,G,02/28/94,6-5 / 1.96,186 lbs. / 84.4 kg.,2750000,USA,2016,Undrafted,Undrafted
282,Tyson Chandler,73,#19,C,10/02/82,7-0 / 2.13,235 lbs. / 106.6 kg.,2564753,USA,2001,1,2
283,Allen Crabbe,73,#0,G-F,04/09/92,6-5 / 1.96,197 lbs. / 89.4 kg.,17818456,USA,2013,2,31
284,Matthew Dellavedova,73,#18,G,09/08/90,6-3 / 1.91,190 lbs. / 86.2 kg.,9607500,Australia,2013,Undrafted,Undrafted
285,James Ennis,73,#0,F,07/01/90,6-6 / 1.98,201 lbs. / 91.2 kg.,1882867,USA,2013,2,50
286,Dorian Finney-Smith,73,#10,F,05/04/93,6-7 / 2.01,213 lbs. / 96.6 kg.,4000000,USA,2016,Undrafted,Undrafted
287,Shaquille Harrison,73,#3,G,10/06/93,6-7 / 2.01,190 lbs. / 86.2 kg.,1620564,USA,2016,Undrafted,Undrafted
